,Name,Carbs (g),per hour,Cost,Cost per g,Box cost,Sodium,Sugars,Flavors,URL,Notes,Box,,,
,,,,,,,,,,,,,,,
,PN300,300,0.2,$33.00,,,0mg,,n/a,https://www.precisionhydration.com/us/en/products/pf-300-flow-gel/,,$33 for 1,,,
,Carbs,50,2,$2.00,$0.04,$36 for 18,105mg,29g,n/a,https://thefeed.com/products/carbs-fuel-original-energy-gel?variant=40304915611711&queryID=ebb852723ebd5d3e57fba24657a3d232,"Sticky, sweet caramel gel. Kinda like a drink. ",$36 for 18,,,
,AMACX Turbo Gel,40,2,$3.00,"Maltodextrin, Fructose",$3.00,200mg,20.5g,Citrus,https://thefeed.com/products/amacx-turbo-gel?variant=40201421652031&queryID=065e9c058cea7cfe7e55f64ff227dd64,A lot like Neversecond,$36 for 12,,,
,PN30 gel,30,3,$3.00,$0.10,$40 for 15,0mg,12g,n/a,https://thefeed.com/products/precision-fuel-and-hydration-pf30-chew?variant=39938466906175&queryID=82b468825bfafa403eab7ffb86530630,Neutral,$45 for 15,,,
❌,NEVERSECOND C30,30,3,$3.50,$0.12,$42 for 12,200mg,10g,"Berry, Fruit punch, Citrus, Passionfruit",https://thefeed.com/products/neversecond-c30-energy-gel?variant=39679229689919,Strawberry salt water. Like the 6d. Passion fruit flavor is INCREDIBLE. ,$42 for 12,,,
,6d Sports Ultra,45,2,$3.75,$0.08,$21 for 6,200mg,25g,"Kiwi, Peach",https://thefeed.com/products/6d-sports-nutrition-ultra-gel?variant=40195016753215&queryID=ea4f5c275cf6eca52767d23f1f5b571f,Like water,$42 for 12,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,$201 for 69,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Options/hr,,,,,,,,,,,,,,
,Spring,40,2,$8.40,,,,,,,,,,,
,,,,,,,,,,,,,,,
,BY SODIUM,,,,,,,,,,,,,,
,6d,90,2,$7.50,,,400mg,,,Rough math,,,,,
,"6d, NEVERSECOND",75,2,$7.25,,,400mg,,,"4 hrs, 8 gels",,,,,
,"6d, AMACX",85,2,$6.75,,,400mg,,,"4 runs/mo, 32 gels",,,,,
,"Carbs, NEVERSECOND",80,2,$5.50,,,305mg,,,"32 gels/mo, 380 gels/year",,,,,
,"Carbs, PF30",80,2,$5.00,,,305mg,,,,,,,,
,"Carbs, AMACX",80,2,$5.00,,,305mg,,,"CARBS, $2/gel, $760 a year",,,,,
,Carbs,80,2,$4.00,,,210mg,,,"6d, $3.75/gel, $1,425 a year",,,,,
,"6d, PF30",75,2,$6.75,,,200mg,,,"Spring, $1560/year",,,,,
,PF90,90,1,$6.66,,,0mg,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,BY PRICE,,,,,,,,,,,,,,
,6d,90,2,$7.50,,,400mg,,,,,,,,
,"6d, NEVERSECOND",75,2,$7.25,,,400mg,,,,,,,,
,"6d, PF30",75,2,$6.75,,,200mg,,,,,,,,
,"6d, AMACX",85,2,$6.75,,,400mg,,,,,,,,
,PF90,90,1,$6.66,,,0mg,,,,,Hydration,,,
,"Carbs, NEVERSECOND",80,2,$5.50,,,305mg,,,,,Gnarly Orange Drank,25,1500,25
,"Carbs, PF30",80,2,$5.00,,,305mg,,,,,,,,
,"Carbs, AMACX",80,2,$5.00,,,305mg,,,,,,,,
,Carbs,80,2,$4.00,,,210mg,,,,,,,,