,Name,Carbs (g),Sodium (mg),Sugars (g),Cost,Cost per serving,URL,,,
,,,,,,,,,,
,,,,,,,,,,
,PER SERVING,,,,,,,,,
,Gnarly Orange Drank,25,500,25,$40 for 25,$2,https://thefeed.com/products/gnarly-nutrition-fuel2o-orange-drank?variant=40185371951167&queryID=76890a297a8b7e248ee4e7e9099c5982,,,
,,75,1500,75,3 scoops,,,,,
,PN 1500 tablet ,15,750,15,$58 for 40,$1.45,https://thefeed.com/products/precision-fuel-and-hydration-powder-ph-1500?variant=39938340192319&queryID=e9eda063bb49082b06187a06993ab586,,,
,,30,1500,30,2 tabs,,,,,
,"Saltstick Electrolyte ""S"" Caps",0,215,0,$27 for 100,$0.27,https://www.rei.com/product/823163/saltstick-electrolyte-salt-capsules-100-capsules,,,
,,0,430,0,2 caps,,,,,
,,,,,,,,,,
,HOURS 1-3 (PER HOUR),Sodium (mg),Carbs (g),,,,,,,
,PN 90g gels (x1),0,90,,Gels,,,,,
,"Gnarly (1/2 liter, 1 scoop)",500,25,,6d,45,,,,
,S caps (1 cap/hr),215,,,NEVER,30,,,,
,,,,,AMACX,40,,"As of Sep 2024, per hour:",,
,TOTAL,715,115,,Carbs,50,,,,
,SODIUM/hr,1126,,,,,,FRONT LOAD,,
,MISSING,411,,,,,,Carbs (2/hr),210mg,100g carbs
,,,,,,,$25/100,"Saltstick Electrolyte ""S"" Caps",430mg,
,HOURS 4+ (PER HOUR),Sodium (mg),Carbs (g),,,,,Gnarly Orange Drank (1/2 liter),500mg,
,PN 90g gels (x1),0,90,,,,,,,
,"PN1500 (tablet), per 500ml",750,3,,,,,TOTAL,1140mg,
,S caps (1 cap/hr),215,,,,,,,,
,,,,,,,,,,
,TOTAL,965,93,,,,,,,
,SODIUM/hr,1126,,,,,,BACK LOAD,,
,MISSING,161,,,,,$50/10,PF90,0mg,90g carbs
,,,,,,,,"Saltstick Electrolyte ""S"" Caps",430mg,
,,,,,,,,PF 1500 tablet (1/2 liter),750mg,
,,,,,,,,,,
,,,,,,,,TOTAL,1180mg,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,PER HOUR — HOURS 4+ (V2),Sodium (mg),Carbs (g),,,,,,,
,"Gels (6d, NEVER, AMACX)",400,80,,,,,,,
,PF1000 (tablet),500,3,,,,,,,
,S Cap (1x hour),215,,,,,,,,
,,,,,,,,,,
,TOTAL,1115,83,,,,,,,
,LOSS,1126,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Skratch Hydration (fruit punch),20,400,18,$54 for 60,$0.90,https://thefeed.com/products/skratch-labs-exercise-hydration-mix?variant=33333943631935&queryID=6ec3433496da845abb14ad64e5fa9519,,,
,,60,1200,54,3 scoops,,,,,
,Tailwind,12,320,10,$30 for 25,$1.20,https://thefeed.com/products/tailwind-rapid-hydration?variant=40495913533503&queryID=58815d74c6ca84ff82c07742299c1200,,,
,,36,960,30,3 scoops,,,,,